doc_id,sentence,biomarker,drug,prediction
"PMC 
BMC_Cancer_2010_Feb_12_10_41.txt
","Gene symbol	Gene name	
ATAD3A	ATPase family, AAA domain containing 3A	
C13orf3	chromosome 13 open reading frame 3	
CCNA2	cyclin A2	
CCNE2	cyclin E2	
CEP55	centrosomal protein 55 kDa	
CSTA	cystatin A (stefin A)	
E2F8	E2F transcription factor 8	
EAF2	ELL associated factor 2	
EXO1	exonuclease 1	
GAR1	GAR1 ribonucleoprotein homolog (yeast)	
HELLS	helicase, lymphoid-specific	
HMOX1	heme oxygenase (decycling) 1	
HSP90AB1	heat shock protein 90 kDa alpha (cytosolic), class B member 1	
IL8	Interleukin 8	
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	
KIF11	kinesin family member 11	
KIF2A	kinesin heavy chain member 2A	
LBR	lamin B receptor	
MPP1	Membrane protein, palmitoylated 1, 55 kDa	
NASP	nuclear autoantigenic sperm protein (histone-binding)	
NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	
NOP14	NOP14 nucleolar protein homolog (yeast)	
NPM3	nucleophosmin/nucleoplasmin, 3	
ODC1	ornithine decarboxylase 1	
PDCD6	programmed cell death 6	
PLAU	plasminogen activator, urokinase	
RIOK3	RIO kinase 3 (yeast)	
RRM1	ribonucleotide reductase M1	
RRM2	ribonucleotide reductase M2 polypeptide	
SHC4	SHC (Src homology 2 domain containing) family, member 4	
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	
SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	
SOCS1	Suppressor of cytokine signaling 1	
TRIP13	thyroid hormone receptor interactor 13	
TTC35	tetratricopeptide repeat domain 35	
UHRF1	ubiquitin-like with PHD and ring finger domains 1	
UPP1	uridine phosphorylase 1	
USP1	ubiquitin specific peptidase 1	
USP18	ubiquitin specific peptidase 18	
VRK1	vaccinia related kinase 1	
ZDHHC21	zinc finger, DHHC-type containing 21	
Aggressive gene signature used as a predictor of poor prognosis as determined by hierarchal clustering enrichment regime (see text, Figure 5).

",NOP14,thyroid,-1
"PMC 
BMC_Cancer_2010_Feb_12_10_41.txt
","Gene symbol	Gene name	
ATAD3A	ATPase family, AAA domain containing 3A	
C13orf3	chromosome 13 open reading frame 3	
CCNA2	cyclin A2	
CCNE2	cyclin E2	
CEP55	centrosomal protein 55 kDa	
CSTA	cystatin A (stefin A)	
E2F8	E2F transcription factor 8	
EAF2	ELL associated factor 2	
EXO1	exonuclease 1	
GAR1	GAR1 ribonucleoprotein homolog (yeast)	
HELLS	helicase, lymphoid-specific	
HMOX1	heme oxygenase (decycling) 1	
HSP90AB1	heat shock protein 90 kDa alpha (cytosolic), class B member 1	
IL8	Interleukin 8	
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	
KIF11	kinesin family member 11	
KIF2A	kinesin heavy chain member 2A	
LBR	lamin B receptor	
MPP1	Membrane protein, palmitoylated 1, 55 kDa	
NASP	nuclear autoantigenic sperm protein (histone-binding)	
NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	
NOP14	NOP14 nucleolar protein homolog (yeast)	
NPM3	nucleophosmin/nucleoplasmin, 3	
ODC1	ornithine decarboxylase 1	
PDCD6	programmed cell death 6	
PLAU	plasminogen activator, urokinase	
RIOK3	RIO kinase 3 (yeast)	
RRM1	ribonucleotide reductase M1	
RRM2	ribonucleotide reductase M2 polypeptide	
SHC4	SHC (Src homology 2 domain containing) family, member 4	
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	
SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	
SOCS1	Suppressor of cytokine signaling 1	
TRIP13	thyroid hormone receptor interactor 13	
TTC35	tetratricopeptide repeat domain 35	
UHRF1	ubiquitin-like with PHD and ring finger domains 1	
UPP1	uridine phosphorylase 1	
USP1	ubiquitin specific peptidase 1	
USP18	ubiquitin specific peptidase 18	
VRK1	vaccinia related kinase 1	
ZDHHC21	zinc finger, DHHC-type containing 21	
Aggressive gene signature used as a predictor of poor prognosis as determined by hierarchal clustering enrichment regime (see text, Figure 5).

",NOC2L,cystatin,-1
"PMC 
BMC_Cancer_2010_Feb_12_10_41.txt
","Gene symbol	Gene name	
ATAD3A	ATPase family, AAA domain containing 3A	
C13orf3	chromosome 13 open reading frame 3	
CCNA2	cyclin A2	
CCNE2	cyclin E2	
CEP55	centrosomal protein 55 kDa	
CSTA	cystatin A (stefin A)	
E2F8	E2F transcription factor 8	
EAF2	ELL associated factor 2	
EXO1	exonuclease 1	
GAR1	GAR1 ribonucleoprotein homolog (yeast)	
HELLS	helicase, lymphoid-specific	
HMOX1	heme oxygenase (decycling) 1	
HSP90AB1	heat shock protein 90 kDa alpha (cytosolic), class B member 1	
IL8	Interleukin 8	
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	
KIF11	kinesin family member 11	
KIF2A	kinesin heavy chain member 2A	
LBR	lamin B receptor	
MPP1	Membrane protein, palmitoylated 1, 55 kDa	
NASP	nuclear autoantigenic sperm protein (histone-binding)	
NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	
NOP14	NOP14 nucleolar protein homolog (yeast)	
NPM3	nucleophosmin/nucleoplasmin, 3	
ODC1	ornithine decarboxylase 1	
PDCD6	programmed cell death 6	
PLAU	plasminogen activator, urokinase	
RIOK3	RIO kinase 3 (yeast)	
RRM1	ribonucleotide reductase M1	
RRM2	ribonucleotide reductase M2 polypeptide	
SHC4	SHC (Src homology 2 domain containing) family, member 4	
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	
SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	
SOCS1	Suppressor of cytokine signaling 1	
TRIP13	thyroid hormone receptor interactor 13	
TTC35	tetratricopeptide repeat domain 35	
UHRF1	ubiquitin-like with PHD and ring finger domains 1	
UPP1	uridine phosphorylase 1	
USP1	ubiquitin specific peptidase 1	
USP18	ubiquitin specific peptidase 18	
VRK1	vaccinia related kinase 1	
ZDHHC21	zinc finger, DHHC-type containing 21	
Aggressive gene signature used as a predictor of poor prognosis as determined by hierarchal clustering enrichment regime (see text, Figure 5).

",NOC2L,thyroid,-1
"PMC 
BMC_Cancer_2010_Feb_12_10_41.txt
","Gene symbol	Gene name	
ATAD3A	ATPase family, AAA domain containing 3A	
C13orf3	chromosome 13 open reading frame 3	
CCNA2	cyclin A2	
CCNE2	cyclin E2	
CEP55	centrosomal protein 55 kDa	
CSTA	cystatin A (stefin A)	
E2F8	E2F transcription factor 8	
EAF2	ELL associated factor 2	
EXO1	exonuclease 1	
GAR1	GAR1 ribonucleoprotein homolog (yeast)	
HELLS	helicase, lymphoid-specific	
HMOX1	heme oxygenase (decycling) 1	
HSP90AB1	heat shock protein 90 kDa alpha (cytosolic), class B member 1	
IL8	Interleukin 8	
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	
KIF11	kinesin family member 11	
KIF2A	kinesin heavy chain member 2A	
LBR	lamin B receptor	
MPP1	Membrane protein, palmitoylated 1, 55 kDa	
NASP	nuclear autoantigenic sperm protein (histone-binding)	
NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	
NOP14	NOP14 nucleolar protein homolog (yeast)	
NPM3	nucleophosmin/nucleoplasmin, 3	
ODC1	ornithine decarboxylase 1	
PDCD6	programmed cell death 6	
PLAU	plasminogen activator, urokinase	
RIOK3	RIO kinase 3 (yeast)	
RRM1	ribonucleotide reductase M1	
RRM2	ribonucleotide reductase M2 polypeptide	
SHC4	SHC (Src homology 2 domain containing) family, member 4	
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	
SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	
SOCS1	Suppressor of cytokine signaling 1	
TRIP13	thyroid hormone receptor interactor 13	
TTC35	tetratricopeptide repeat domain 35	
UHRF1	ubiquitin-like with PHD and ring finger domains 1	
UPP1	uridine phosphorylase 1	
USP1	ubiquitin specific peptidase 1	
USP18	ubiquitin specific peptidase 18	
VRK1	vaccinia related kinase 1	
ZDHHC21	zinc finger, DHHC-type containing 21	
Aggressive gene signature used as a predictor of poor prognosis as determined by hierarchal clustering enrichment regime (see text, Figure 5).

",UPP1,cystatin,-1
"PMC 
BMC_Cancer_2010_Feb_12_10_41.txt
","Gene symbol	Gene name	
ATAD3A	ATPase family, AAA domain containing 3A	
C13orf3	chromosome 13 open reading frame 3	
CCNA2	cyclin A2	
CCNE2	cyclin E2	
CEP55	centrosomal protein 55 kDa	
CSTA	cystatin A (stefin A)	
E2F8	E2F transcription factor 8	
EAF2	ELL associated factor 2	
EXO1	exonuclease 1	
GAR1	GAR1 ribonucleoprotein homolog (yeast)	
HELLS	helicase, lymphoid-specific	
HMOX1	heme oxygenase (decycling) 1	
HSP90AB1	heat shock protein 90 kDa alpha (cytosolic), class B member 1	
IL8	Interleukin 8	
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	
KIF11	kinesin family member 11	
KIF2A	kinesin heavy chain member 2A	
LBR	lamin B receptor	
MPP1	Membrane protein, palmitoylated 1, 55 kDa	
NASP	nuclear autoantigenic sperm protein (histone-binding)	
NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	
NOP14	NOP14 nucleolar protein homolog (yeast)	
NPM3	nucleophosmin/nucleoplasmin, 3	
ODC1	ornithine decarboxylase 1	
PDCD6	programmed cell death 6	
PLAU	plasminogen activator, urokinase	
RIOK3	RIO kinase 3 (yeast)	
RRM1	ribonucleotide reductase M1	
RRM2	ribonucleotide reductase M2 polypeptide	
SHC4	SHC (Src homology 2 domain containing) family, member 4	
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	
SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	
SOCS1	Suppressor of cytokine signaling 1	
TRIP13	thyroid hormone receptor interactor 13	
TTC35	tetratricopeptide repeat domain 35	
UHRF1	ubiquitin-like with PHD and ring finger domains 1	
UPP1	uridine phosphorylase 1	
USP1	ubiquitin specific peptidase 1	
USP18	ubiquitin specific peptidase 18	
VRK1	vaccinia related kinase 1	
ZDHHC21	zinc finger, DHHC-type containing 21	
Aggressive gene signature used as a predictor of poor prognosis as determined by hierarchal clustering enrichment regime (see text, Figure 5).

",UPP1,thyroid,-1
"PMC 
BMC_Cancer_2010_Feb_12_10_41.txt
","Gene symbol	Gene name	
ATAD3A	ATPase family, AAA domain containing 3A	
C13orf3	chromosome 13 open reading frame 3	
CCNA2	cyclin A2	
CCNE2	cyclin E2	
CEP55	centrosomal protein 55 kDa	
CSTA	cystatin A (stefin A)	
E2F8	E2F transcription factor 8	
EAF2	ELL associated factor 2	
EXO1	exonuclease 1	
GAR1	GAR1 ribonucleoprotein homolog (yeast)	
HELLS	helicase, lymphoid-specific	
HMOX1	heme oxygenase (decycling) 1	
HSP90AB1	heat shock protein 90 kDa alpha (cytosolic), class B member 1	
IL8	Interleukin 8	
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	
KIF11	kinesin family member 11	
KIF2A	kinesin heavy chain member 2A	
LBR	lamin B receptor	
MPP1	Membrane protein, palmitoylated 1, 55 kDa	
NASP	nuclear autoantigenic sperm protein (histone-binding)	
NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	
NOP14	NOP14 nucleolar protein homolog (yeast)	
NPM3	nucleophosmin/nucleoplasmin, 3	
ODC1	ornithine decarboxylase 1	
PDCD6	programmed cell death 6	
PLAU	plasminogen activator, urokinase	
RIOK3	RIO kinase 3 (yeast)	
RRM1	ribonucleotide reductase M1	
RRM2	ribonucleotide reductase M2 polypeptide	
SHC4	SHC (Src homology 2 domain containing) family, member 4	
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	
SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	
SOCS1	Suppressor of cytokine signaling 1	
TRIP13	thyroid hormone receptor interactor 13	
TTC35	tetratricopeptide repeat domain 35	
UHRF1	ubiquitin-like with PHD and ring finger domains 1	
UPP1	uridine phosphorylase 1	
USP1	ubiquitin specific peptidase 1	
USP18	ubiquitin specific peptidase 18	
VRK1	vaccinia related kinase 1	
ZDHHC21	zinc finger, DHHC-type containing 21	
Aggressive gene signature used as a predictor of poor prognosis as determined by hierarchal clustering enrichment regime (see text, Figure 5).

",MPP1,cystatin,-1
"PMC 
BMC_Cancer_2010_Feb_12_10_41.txt
","Gene symbol	Gene name	
ATAD3A	ATPase family, AAA domain containing 3A	
C13orf3	chromosome 13 open reading frame 3	
CCNA2	cyclin A2	
CCNE2	cyclin E2	
CEP55	centrosomal protein 55 kDa	
CSTA	cystatin A (stefin A)	
E2F8	E2F transcription factor 8	
EAF2	ELL associated factor 2	
EXO1	exonuclease 1	
GAR1	GAR1 ribonucleoprotein homolog (yeast)	
HELLS	helicase, lymphoid-specific	
HMOX1	heme oxygenase (decycling) 1	
HSP90AB1	heat shock protein 90 kDa alpha (cytosolic), class B member 1	
IL8	Interleukin 8	
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	
KIF11	kinesin family member 11	
KIF2A	kinesin heavy chain member 2A	
LBR	lamin B receptor	
MPP1	Membrane protein, palmitoylated 1, 55 kDa	
NASP	nuclear autoantigenic sperm protein (histone-binding)	
NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	
NOP14	NOP14 nucleolar protein homolog (yeast)	
NPM3	nucleophosmin/nucleoplasmin, 3	
ODC1	ornithine decarboxylase 1	
PDCD6	programmed cell death 6	
PLAU	plasminogen activator, urokinase	
RIOK3	RIO kinase 3 (yeast)	
RRM1	ribonucleotide reductase M1	
RRM2	ribonucleotide reductase M2 polypeptide	
SHC4	SHC (Src homology 2 domain containing) family, member 4	
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	
SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	
SOCS1	Suppressor of cytokine signaling 1	
TRIP13	thyroid hormone receptor interactor 13	
TTC35	tetratricopeptide repeat domain 35	
UHRF1	ubiquitin-like with PHD and ring finger domains 1	
UPP1	uridine phosphorylase 1	
USP1	ubiquitin specific peptidase 1	
USP18	ubiquitin specific peptidase 18	
VRK1	vaccinia related kinase 1	
ZDHHC21	zinc finger, DHHC-type containing 21	
Aggressive gene signature used as a predictor of poor prognosis as determined by hierarchal clustering enrichment regime (see text, Figure 5).

",MPP1,thyroid,-1
"PMC 
BMC_Cancer_2010_Feb_12_10_41.txt
","Gene symbol	Gene name	
ATAD3A	ATPase family, AAA domain containing 3A	
C13orf3	chromosome 13 open reading frame 3	
CCNA2	cyclin A2	
CCNE2	cyclin E2	
CEP55	centrosomal protein 55 kDa	
CSTA	cystatin A (stefin A)	
E2F8	E2F transcription factor 8	
EAF2	ELL associated factor 2	
EXO1	exonuclease 1	
GAR1	GAR1 ribonucleoprotein homolog (yeast)	
HELLS	helicase, lymphoid-specific	
HMOX1	heme oxygenase (decycling) 1	
HSP90AB1	heat shock protein 90 kDa alpha (cytosolic), class B member 1	
IL8	Interleukin 8	
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	
KIF11	kinesin family member 11	
KIF2A	kinesin heavy chain member 2A	
LBR	lamin B receptor	
MPP1	Membrane protein, palmitoylated 1, 55 kDa	
NASP	nuclear autoantigenic sperm protein (histone-binding)	
NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	
NOP14	NOP14 nucleolar protein homolog (yeast)	
NPM3	nucleophosmin/nucleoplasmin, 3	
ODC1	ornithine decarboxylase 1	
PDCD6	programmed cell death 6	
PLAU	plasminogen activator, urokinase	
RIOK3	RIO kinase 3 (yeast)	
RRM1	ribonucleotide reductase M1	
RRM2	ribonucleotide reductase M2 polypeptide	
SHC4	SHC (Src homology 2 domain containing) family, member 4	
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	
SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	
SOCS1	Suppressor of cytokine signaling 1	
TRIP13	thyroid hormone receptor interactor 13	
TTC35	tetratricopeptide repeat domain 35	
UHRF1	ubiquitin-like with PHD and ring finger domains 1	
UPP1	uridine phosphorylase 1	
USP1	ubiquitin specific peptidase 1	
USP18	ubiquitin specific peptidase 18	
VRK1	vaccinia related kinase 1	
ZDHHC21	zinc finger, DHHC-type containing 21	
Aggressive gene signature used as a predictor of poor prognosis as determined by hierarchal clustering enrichment regime (see text, Figure 5).

",SHC,cystatin,-1
"PMC 
BMC_Cancer_2010_Feb_12_10_41.txt
","Gene symbol	Gene name	
ATAD3A	ATPase family, AAA domain containing 3A	
C13orf3	chromosome 13 open reading frame 3	
CCNA2	cyclin A2	
CCNE2	cyclin E2	
CEP55	centrosomal protein 55 kDa	
CSTA	cystatin A (stefin A)	
E2F8	E2F transcription factor 8	
EAF2	ELL associated factor 2	
EXO1	exonuclease 1	
GAR1	GAR1 ribonucleoprotein homolog (yeast)	
HELLS	helicase, lymphoid-specific	
HMOX1	heme oxygenase (decycling) 1	
HSP90AB1	heat shock protein 90 kDa alpha (cytosolic), class B member 1	
IL8	Interleukin 8	
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	
KIF11	kinesin family member 11	
KIF2A	kinesin heavy chain member 2A	
LBR	lamin B receptor	
MPP1	Membrane protein, palmitoylated 1, 55 kDa	
NASP	nuclear autoantigenic sperm protein (histone-binding)	
NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	
NOP14	NOP14 nucleolar protein homolog (yeast)	
NPM3	nucleophosmin/nucleoplasmin, 3	
ODC1	ornithine decarboxylase 1	
PDCD6	programmed cell death 6	
PLAU	plasminogen activator, urokinase	
RIOK3	RIO kinase 3 (yeast)	
RRM1	ribonucleotide reductase M1	
RRM2	ribonucleotide reductase M2 polypeptide	
SHC4	SHC (Src homology 2 domain containing) family, member 4	
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	
SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	
SOCS1	Suppressor of cytokine signaling 1	
TRIP13	thyroid hormone receptor interactor 13	
TTC35	tetratricopeptide repeat domain 35	
UHRF1	ubiquitin-like with PHD and ring finger domains 1	
UPP1	uridine phosphorylase 1	
USP1	ubiquitin specific peptidase 1	
USP18	ubiquitin specific peptidase 18	
VRK1	vaccinia related kinase 1	
ZDHHC21	zinc finger, DHHC-type containing 21	
Aggressive gene signature used as a predictor of poor prognosis as determined by hierarchal clustering enrichment regime (see text, Figure 5).

",SHC,thyroid,-1
"PMC 
BMC_Cancer_2010_Feb_12_10_41.txt
","Gene symbol	Gene name	
ATAD3A	ATPase family, AAA domain containing 3A	
C13orf3	chromosome 13 open reading frame 3	
CCNA2	cyclin A2	
CCNE2	cyclin E2	
CEP55	centrosomal protein 55 kDa	
CSTA	cystatin A (stefin A)	
E2F8	E2F transcription factor 8	
EAF2	ELL associated factor 2	
EXO1	exonuclease 1	
GAR1	GAR1 ribonucleoprotein homolog (yeast)	
HELLS	helicase, lymphoid-specific	
HMOX1	heme oxygenase (decycling) 1	
HSP90AB1	heat shock protein 90 kDa alpha (cytosolic), class B member 1	
IL8	Interleukin 8	
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	
KIF11	kinesin family member 11	
KIF2A	kinesin heavy chain member 2A	
LBR	lamin B receptor	
MPP1	Membrane protein, palmitoylated 1, 55 kDa	
NASP	nuclear autoantigenic sperm protein (histone-binding)	
NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	
NOP14	NOP14 nucleolar protein homolog (yeast)	
NPM3	nucleophosmin/nucleoplasmin, 3	
ODC1	ornithine decarboxylase 1	
PDCD6	programmed cell death 6	
PLAU	plasminogen activator, urokinase	
RIOK3	RIO kinase 3 (yeast)	
RRM1	ribonucleotide reductase M1	
RRM2	ribonucleotide reductase M2 polypeptide	
SHC4	SHC (Src homology 2 domain containing) family, member 4	
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	
SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	
SOCS1	Suppressor of cytokine signaling 1	
TRIP13	thyroid hormone receptor interactor 13	
TTC35	tetratricopeptide repeat domain 35	
UHRF1	ubiquitin-like with PHD and ring finger domains 1	
UPP1	uridine phosphorylase 1	
USP1	ubiquitin specific peptidase 1	
USP18	ubiquitin specific peptidase 18	
VRK1	vaccinia related kinase 1	
ZDHHC21	zinc finger, DHHC-type containing 21	
Aggressive gene signature used as a predictor of poor prognosis as determined by hierarchal clustering enrichment regime (see text, Figure 5).

",NASP,cystatin,-1
"PMC 
BMC_Cancer_2010_Feb_12_10_41.txt
","Gene symbol	Gene name	
ATAD3A	ATPase family, AAA domain containing 3A	
C13orf3	chromosome 13 open reading frame 3	
CCNA2	cyclin A2	
CCNE2	cyclin E2	
CEP55	centrosomal protein 55 kDa	
CSTA	cystatin A (stefin A)	
E2F8	E2F transcription factor 8	
EAF2	ELL associated factor 2	
EXO1	exonuclease 1	
GAR1	GAR1 ribonucleoprotein homolog (yeast)	
HELLS	helicase, lymphoid-specific	
HMOX1	heme oxygenase (decycling) 1	
HSP90AB1	heat shock protein 90 kDa alpha (cytosolic), class B member 1	
IL8	Interleukin 8	
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	
KIF11	kinesin family member 11	
KIF2A	kinesin heavy chain member 2A	
LBR	lamin B receptor	
MPP1	Membrane protein, palmitoylated 1, 55 kDa	
NASP	nuclear autoantigenic sperm protein (histone-binding)	
NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	
NOP14	NOP14 nucleolar protein homolog (yeast)	
NPM3	nucleophosmin/nucleoplasmin, 3	
ODC1	ornithine decarboxylase 1	
PDCD6	programmed cell death 6	
PLAU	plasminogen activator, urokinase	
RIOK3	RIO kinase 3 (yeast)	
RRM1	ribonucleotide reductase M1	
RRM2	ribonucleotide reductase M2 polypeptide	
SHC4	SHC (Src homology 2 domain containing) family, member 4	
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	
SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	
SOCS1	Suppressor of cytokine signaling 1	
TRIP13	thyroid hormone receptor interactor 13	
TTC35	tetratricopeptide repeat domain 35	
UHRF1	ubiquitin-like with PHD and ring finger domains 1	
UPP1	uridine phosphorylase 1	
USP1	ubiquitin specific peptidase 1	
USP18	ubiquitin specific peptidase 18	
VRK1	vaccinia related kinase 1	
ZDHHC21	zinc finger, DHHC-type containing 21	
Aggressive gene signature used as a predictor of poor prognosis as determined by hierarchal clustering enrichment regime (see text, Figure 5).

",NASP,thyroid,-1
"PMC 
BMC_Cancer_2010_Feb_12_10_41.txt
","Gene symbol	Gene name	
ATAD3A	ATPase family, AAA domain containing 3A	
C13orf3	chromosome 13 open reading frame 3	
CCNA2	cyclin A2	
CCNE2	cyclin E2	
CEP55	centrosomal protein 55 kDa	
CSTA	cystatin A (stefin A)	
E2F8	E2F transcription factor 8	
EAF2	ELL associated factor 2	
EXO1	exonuclease 1	
GAR1	GAR1 ribonucleoprotein homolog (yeast)	
HELLS	helicase, lymphoid-specific	
HMOX1	heme oxygenase (decycling) 1	
HSP90AB1	heat shock protein 90 kDa alpha (cytosolic), class B member 1	
IL8	Interleukin 8	
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	
KIF11	kinesin family member 11	
KIF2A	kinesin heavy chain member 2A	
LBR	lamin B receptor	
MPP1	Membrane protein, palmitoylated 1, 55 kDa	
NASP	nuclear autoantigenic sperm protein (histone-binding)	
NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	
NOP14	NOP14 nucleolar protein homolog (yeast)	
NPM3	nucleophosmin/nucleoplasmin, 3	
ODC1	ornithine decarboxylase 1	
PDCD6	programmed cell death 6	
PLAU	plasminogen activator, urokinase	
RIOK3	RIO kinase 3 (yeast)	
RRM1	ribonucleotide reductase M1	
RRM2	ribonucleotide reductase M2 polypeptide	
SHC4	SHC (Src homology 2 domain containing) family, member 4	
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	
SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	
SOCS1	Suppressor of cytokine signaling 1	
TRIP13	thyroid hormone receptor interactor 13	
TTC35	tetratricopeptide repeat domain 35	
UHRF1	ubiquitin-like with PHD and ring finger domains 1	
UPP1	uridine phosphorylase 1	
USP1	ubiquitin specific peptidase 1	
USP18	ubiquitin specific peptidase 18	
VRK1	vaccinia related kinase 1	
ZDHHC21	zinc finger, DHHC-type containing 21	
Aggressive gene signature used as a predictor of poor prognosis as determined by hierarchal clustering enrichment regime (see text, Figure 5).

",NOP14,cystatin,-1
"PMC 
BMC_Cancer_2010_Feb_12_10_41.txt
","Gene symbol	Gene name	
ATAD3A	ATPase family, AAA domain containing 3A	
C13orf3	chromosome 13 open reading frame 3	
CCNA2	cyclin A2	
CCNE2	cyclin E2	
CEP55	centrosomal protein 55 kDa	
CSTA	cystatin A (stefin A)	
E2F8	E2F transcription factor 8	
EAF2	ELL associated factor 2	
EXO1	exonuclease 1	
GAR1	GAR1 ribonucleoprotein homolog (yeast)	
HELLS	helicase, lymphoid-specific	
HMOX1	heme oxygenase (decycling) 1	
HSP90AB1	heat shock protein 90 kDa alpha (cytosolic), class B member 1	
IL8	Interleukin 8	
ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	
KIF11	kinesin family member 11	
KIF2A	kinesin heavy chain member 2A	
LBR	lamin B receptor	
MPP1	Membrane protein, palmitoylated 1, 55 kDa	
NASP	nuclear autoantigenic sperm protein (histone-binding)	
NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	
NOP14	NOP14 nucleolar protein homolog (yeast)	
NPM3	nucleophosmin/nucleoplasmin, 3	
ODC1	ornithine decarboxylase 1	
PDCD6	programmed cell death 6	
PLAU	plasminogen activator, urokinase	
RIOK3	RIO kinase 3 (yeast)	
RRM1	ribonucleotide reductase M1	
RRM2	ribonucleotide reductase M2 polypeptide	
SHC4	SHC (Src homology 2 domain containing) family, member 4	
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	
SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	
SOCS1	Suppressor of cytokine signaling 1	
TRIP13	thyroid hormone receptor interactor 13	
TTC35	tetratricopeptide repeat domain 35	
UHRF1	ubiquitin-like with PHD and ring finger domains 1	
UPP1	uridine phosphorylase 1	
USP1	ubiquitin specific peptidase 1	
USP18	ubiquitin specific peptidase 18	
VRK1	vaccinia related kinase 1	
ZDHHC21	zinc finger, DHHC-type containing 21	
Aggressive gene signature used as a predictor of poor prognosis as determined by hierarchal clustering enrichment regime (see text, Figure 5).

",NOP14,thyroid,-1
